primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Nashville,Davidson County,37210,Unsure ,Unsure,Unsure,,,NA, ,5uA5iFdfQHJA5CxBuMxG77,,Unsure,
Smyrna,Rutherford County,37167,Nashville farmers market ,,Nashville Farmers Market,,,NA, ,5uLlW10nOuebNWHR2FUwcj,,Nashville Farmers Market,SP
Nashville,Davidson County,37208,Jefferson,Not a farmers market,Nashville Farmers Market,Jefferson st,Not Farmers Market,Nashville Farmers Market,Nashville Farmers Market,5v8NPcWOj1N29liNo4f6So,SP,Nashville Farmers Market,SP
,,37045,Unsure,Unsure,,,,, ,5vA24TvI8yD9FXdb6olsjM,,Unsure,
Antioch,Davidson County,37011,Vanderbilt,Vanderbilt Farmers Market,Vanderbilt Farmers Market,"Vanderbilt Medical Center Plaza, 2211 Garland Ave",Vanderbilt Farmers Market,Vanderbilt Farmers Market,Vanderbilt Farmers Market,5vjbTkJXkjZyBzYsvAfwcd,,Vanderbilt Farmers Market,
Knoxville,Knox County,37918,Unsure,Unsure,Unsure,,,NA, ,5vzIuqKfLg06L5RdsNSFLT,,Unsure,
Clarksville,Montgomery County,37040,Sango Night Market/3rd Thursdays at Beachhaven/Clarksville Saturday Market/Sunday in Strawberry ,Sango Night Market,Clarksville Farmers Market,Richland Farmer's Market ,Richland Farmers Market,Richland Farmers Market,Richland Farmers Market,5wXdazrQGzMS973SDJ1V5W,,Sango Night Market,AR
Knoxville,Knox County,37920,Unsure ,Unsure,Unsure,Unsure ,Unsure,Unsure,Unsure,5wf5mJwrQX7piXm1St6hLf,,Unsure,
,,38611,Unsure,Unsure,,,,, ,5woWHRjc40z1I748TDtJBB,,Unsure,
Knoxville,Knox County,37917,unsure,Unsure,Unsure,,,NA, ,5wshtqow2m7XSWOzggNkWz,,Unsure,
Knoxville,Knox County,37909,Griffith st,Not a farmers market,NA,Walkers,Not Farmers Market,Unsure,,5xcNCYPPToHzrqD5DZxtIn,,,
Bristol,Sullivan County,37620,Unsure,Unsure,Unsure,,,NA, ,5xlDcTzVnsTnJI6BAskWNE,,Unsure,
,,72301,unsure,Unsure,,,,, ,5yEXEzJEYbrOm8aNbXIQtG,,,
Clarksville,Montgomery County,37040,Not really sure ,Unsure,Unsure,Not really sure ,Unsure,Unsure,Unsure,5yQzYqH0ZJdYC3rvhn97kk,,Unsure,
Knoxville,Knox County,37909,Market Square ,Market Square Farmers Market,Market Square Farmers Market,,,NA, ,5yRNC7UQgRXg5ssaC1rtKo,,Market Square Farmers Market,
Hermitage,Davidson County,37076,Unsure ,Unsure,Unsure,8th ave Nashville tn,Not Farmers Market,Nashville Farmers Market,Nashville Farmers Market,5yS0O7MU12ZWRjmkXEquCB,SP,Unsure,
Memphis,Shelby County,38114,Unsure,Unsure,Unsure,,,NA, ,5ydB8wvAMyHDosE3UHNoXk,,Unsure,
Dandridge,Jefferson County,37725,Gay st,Dandridge Farmers Market,Market Square Farmers Market,Gay st,Dandridge Farmers Market,Market Square Farmers Market,Dandridge Farmers Market,5z0xaQ8bVtIa79TImTGNep,AR,Dandridge Farmers Market,AR
Sweetwater,Monroe County,37874,Unsure,Unsure,Unsure,Sweetwater Main Street,Unsure,Main Street Murfreesboro Farmers Market,Unsure,5z7AeIHxIqe0e2wXdXv96a,AR,Unsure,
Morristown,Hamblen County,37814,Main Street,Morristown Farmers Market,Morristown Farmers Market,Main Street,Morristown Farmers Market,Morristown Farmers Market,Morristown Farmers Market,5zNqYZ5kqmLf0o01QHMiIr,,Morristown Farmers Market,
Nashville,Davidson County,37208,Unsure,Unsure,Unsure,,,NA, ,5zjqZInhLpCdupDX7KFo4a,,Unsure,
Murfreesboro,Rutherford County,37129,Nashville ,Nashville Farmers Market,Nashville Farmers Market,Nashville ,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,602M8rC5lfCmunU4MhdswX,,Nashville Farmers Market,
Crossville,Cumberland County,38558,". in Washington, D.C., is a well-known and frequently visited market,",Not in TN,NA,"The USDA Farmers Market, located at Independence and 14th Street S.W. in Washington, D.C., is a well-known and frequently visited market, according to the USDA. The market is easily accessible by public transportation and is a popular gathering place for community members. ",N/A,Masons Cumberland Farmers Market,N/A,60QIXuTUvMhtK3ka7pDrWg,AR,,
Lebanon,Wilson County,37090,Unsure,Unsure,Unsure,,,NA, ,61IWgGhM3XKDVl2LkyKSSO,,Unsure,
Morristown,Hamblen County,37814,morris blvd.  henry st.,Morristown Farmers Market,Morristown Farmers Market,unsure,Unsure,Unsure,Unsure,61ovPxvLg0tJU2ag1Nx8RW,,Morristown Farmers Market,
Nashville,Davidson County,37229,Bicentennial Way  Nashville (Downtown),Nashville Farmers Market,Nashville Farmers Market,Bicentennial Way Downtown  Nashville,,Nashville Farmers Market,,628WSmoWBt1WKTrAxBDjao,AR,Nashville Farmers Market,
Antioch,Davidson County,37013,Unsure,Unsure,Unsure,,,NA, ,62TnqkjH3fWJSeNwcdX47u,,Unsure,
Dyersburg,Dyer County,38024,Yes,Scott Street Tomato Farm,NA,Tomato ,Scott Street Tomato Farm,Unsure,Unsure,62l75vueZgkkFVNtZH780l,SP,NA,SP
Nashville,Davidson County,37211,unsure,Unsure,Unsure,down town,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,62rW9Sc1G2xRuVUcQc9tIV,,Unsure,
Memphis,Shelby County,38104,Cooper Young,Cooper-Young Farmers Market,Cooper-Young Farmers Market,Cooper,Cooper-Young Farmers Market,Cooper-Young Farmers Market,Cooper-Young Farmers Market,63MLKMatBLLzfrQBEVevuG,,Cooper-Young Farmers Market,
Puryear,Henry County,38251,Unsure ,Unsure,Unsure,Murray farmers market,Murray Farmers Market,Murray Farmers Market,Murray Farmers Market,63upnUeYYOqWGibpFtuG0r,,Unsure,
Murfreesboro,Rutherford County,37130,murfreesboro market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,murfreesboro market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,64522YO9VMRIPIJCAPF6iy,,Main Street Murfreesboro Farmers Market,
Portland,Sumner County,37148,Unsure,Unsure,Unsure,Gallatins farmer's market,Gallatin Farmers Market,Gallatin Farmers Market,Gallatin Farmers Market,64eH87te6WWXSwIPVXGJWS,,Unsure,
Nashville,Davidson County,37210,Nashville farmers market ,Nashville Farmers Market,Nashville Farmers Market,,,NA, ,64iyHXWIgcZwCB8KlGtm2t,,Nashville Farmers Market,
Memphis,Shelby County,38128,Freeman Park,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Barlett,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett Station Farmers Market,653ogmUYS0abf2BHxAAuGX,,Bartlett Station Farmers Market,
Nashville,Davidson County,37211,unsure,Unsure,Unsure,,,NA, ,65BxOsNY47ZtTfLv8CCcby,,Unsure,
,,38658,Oakland Farmers Market,Not in TN,,,,, ,65L0oJ1OczmZvnlJ8oCPyQ,,,
Nashville,Davidson County,37217,Downtown Nashville ,Nashville Farmers Market,Nashville Farmers Market,Down town Nashville ,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,65qt4zUqrJRZb1zWuNxgOw,,Nashville Farmers Market,
Knoxville,Knox County,37922,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,663T6ZUX4pyFeh0yfyMzJM,,Unsure,
Memphis,Shelby County,38127,Appling Rd.,Not a farmers market,Memphis Farmers Market,Union,Not Farmers Market,Not Farmers Market,Not Farmers Market,66NFshqetQfPGKhCZegjjN,,Memphis Farmers Market,SP
Sevierville,Sevier County,37876,unsure,Unsure,Unsure,Cherokee Deli ,Not Farmers Market,Not Farmers Market,Not Farmers Market,66aJAK5VJkoj2yuyHGa1z5,,Unsure,
Knoxville,Knox County,37917,Unsure ,Unsure,Unsure,Unsure ,Unsure,Unsure,Unsure,66aj8yOsyTc7SgGoQznbV1,,Unsure,
Morristown,Hamblen County,37813,Unsure,Unsure,Unsure,,,NA, ,66ao0ctOX0QQBbuNwS6Fun,,Unsure,
,,72301,Jded,Unsure,,Loedfx,Not Farmers Market,,,676zumf77r1yo4Enwtfnau,,,
Knoxville,Knox County,37912,Unsure ,Unsure,Unsure,,,NA, ,67JZfDRlbEceRSXOVAtueR,,Unsure,
Maryville,Blount County,37801,Unsure ,Unsure,Unsure,Maryville Farmers Market,,Maryville Farmers Market,Maryville Farmers Market,67OElxR6SyFNxv7Nldoq4V,SP,Unsure,
,,42224,Unsure ,Unsure,,,,, ,67tDOVhDwN00ein6ekV1R5,,,
Maryville,Blount County,37803,Unsure,Unsure,Unsure,Blount County Farmers Market,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,67wxZHAeIfHWrEjZy9kG8a,,Unsure,
Speedwell,Claiborne County,37870,Unsure,Unsure,Unsure,Local market,,Not Farmers Market,,68gTsplIxGaQyetC2dPoZz,,Unsure,
Nashville,Davidson County,37215,Trader Joez,Not a farmers market,Not Farmers Market,Trader Joes,Not Farmers Market,Nashville Farmers Market,Not Farmers Market,69cbkWCzTyW45v5CsG4LVe,AR,,
Nashville,Davidson County,37211,Nashville farmers market ,Nashville Farmers Market,Nashville Farmers Market,,,NA, ,69vUO9uimV1lc0EBcur9O8,,Nashville Farmers Market,
Gallatin,Sumner County,37066,Unsure,Unsure,Unsure,Babylon gardens,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,69xlrVEJCHAK00aSHTAFsc,,Unsure,
Gallatin,Sumner County,37066,Bledso St,Gallatin Farmers Market,Gallatin Farmers Market,"Gallatin FarmerÃ¢ÂÂs Market, Bledso St",Gallatin Farmers Market,Gallatin Farmers Market,Gallatin Farmers Market,69yBpHVaI3ql9GgIau5c0R,,Gallatin Farmers Market,
Knoxville,Knox County,37912,Market square farmers market,Market Square Farmers Market,Market Square Farmers Market,Market square farmers market ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,6A9ynDZV5hotMqGMJkAzec,,Market Square Farmers Market,
Memphis,Shelby County,38108,Gram,,Unsure,Famer steve,,Not Farmers Market,,6ACMABNZa7VoJOZGoLWlH3,,,
Mount Juliet,Wilson County,37122,Charlie Daniels park ,Mt. Juliet Farmers Market,Mt. Juliet Farmers Market,,,NA, ,6ALMMfhW3zjKmtdw58A4FF,,Mt. Juliet Farmers Market,
Memphis,Shelby County,38128,Poplar ave,Not a farmers market,Collierville Farmers Market,Germantown farmers market ,Cordova International Farmers Market,Farm Park Farmers Market,Farm Park Farmers Market,6AiJHH0ANRuc4IZbqy68g2,SP,Collierville Farmers Market,SP
Strawberry Plains,Jefferson County,37871,Jordan Millington strawberry plans ,Not a farmers market,Not Farmers Market,Jordan Millington strawberry plans ,Not Farmers Market,Not Farmers Market,Not Farmers Market,6ApSYNstEQrCDRJbjI3Zh0,,,
Nashville,Davidson County,37221,Highway 70S and Collice Jean Road,Bellevue Farmers Market,Bellevue Farmers Market,Bellevue Farmers market T red caboose park,Bellevue Farmers Market,Nashville Farmers Market,Bellevue Farmers Market,6B1MzjpwsUIWrqSGi4TDd2,AR,Bellevue Farmers Market,
,,72370,Unsure ,Unsure,,,,, ,6BN58TBjbpQq8TO8KOPTG1,,,
Knoxville,Knox County,37909,Sutherland ,Farm Fresh Produce,Farm Fresh Produce,Sutherland ,Farm Fresh Produce,Farm Fresh Produce,Farm Fresh Produce,6BTLaQbAeDB4aP7UI714mY,,Farm Fresh Produce,
,,38637,unsure,Unsure,,,,, ,6BUmBvLsc4x6zwj42UAQsP,,,
Columbia,Maury County,38401,Unsure ,Unsure,Unsure,,,NA, ,6BYvB7xYetAaA4Jwkt0tto,,Unsure,
Memphis,Shelby County,38109,Unsure,Unsure,Unsure,Parkway ,Overton Park Community Farmers Market,Fresh Roots Farmers Market,Overton Park Community Farmers Market,6Bl64YxH95oDt2IfIXtq45,AR,Unsure,
Corryton,Knox County,37721,Harvest square,New Harvest Farmers Market,New Harvest Farmers Market,Market square ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,6Dl5umBHpQye4WqHzQIr5o,,New Harvest Farmers Market,
Nashville,Davidson County,37206,unsure,Unsure,Unsure,I usually go to the nashville farmers market.,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,6EKYzBaPbIallavjQzoPh4,,Unsure,
Carthage,Smith County,37030,Unsure,Unsure,Unsure,,,NA, ,6ET7ZUbqfGMqfgJH9qoaUC,,Unsure,
Antioch,Davidson County,37013,Ballard Farmers Market,Not in TN,NA,Ballard Farmers Market,N/A,NA,,6EaWzAIjzDTOcwhucdgNuG,,,
Morristown,Hamblen County,37814,"Morris Blvd. Morristown, TN.",Morristown Farmers Market,Morristown Farmers Market,Morris Blvd.,Morristown Farmers Market,Morristown Farmers Market,Morristown Farmers Market,6EfauVcQhwkUCZ1uh0XTLR,,Morristown Farmers Market,
Athens,McMinn County,37303,Unsure,Unsure,Unsure,,,NA, ,6EfuXzOouu4gLQ0ztf8neY,,Unsure,
Oak Ridge,Anderson County,37830,It's in Market Square.  ,Market Square Farmers Market,Market Square Farmers Market,Market Square in downtown Knoxville,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,6F919XB1zfnkM8Rl6H9JQg,,Market Square Farmers Market,
Bean Station,Grainger County,37708,Unsure ,Unsure,Unsure,Sunfresh produce,Sunfresh Produce,Sunfresh Produce,Sunfresh Produce,6FSzGw9tAyJM45QumHLjXD,,Unsure,
Memphis,Shelby County,38134,Unsure ,Unsure,Unsure,Winchester rd ,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market,6FZpa4IzYeKvZ9jRwyt8vI,,Unsure,
Knoxville,Knox County,37922,Market Square,Market Square Farmers Market,Market Square Farmers Market,,,NA, ,6GKXnhal2WXYibudhiam03,,Market Square Farmers Market,
Nashville,Davidson County,37207,Unsure ,Unsure,Unsure,2940 Dickerson Pike ,Davidson Farmers CO-OP,Not Farmers Market,Davidson Farmers CO-OP,6GNl7NqJs77U1z67tsC7la,AR,Unsure,
Antioch,Davidson County,37013,"the Main Street Murfreesboro Saturday Market is also located close by, at 1 S Public Square, Murfreesboro, TN 37130.",Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market," Lane Agri-Park Community Center, 315 John R. Rice Blvd, Murfreesboro, TN 37129.",Rutherford County Farmers Market,Rutherford County Farmers Market,Rutherford County Farmers Market,6GTqp9bZepVzF29BI9wm0q,,Main Street Murfreesboro Farmers Market,
,,38603,Holly Springs square ,Not in TN,,Holly Springs ,N/A,,,6Ge82jy7ShOGr6gR7ficmB,,,
Knoxville,Knox County,37919,Idk,Unsure,Unsure,Bow Bowmassey,Not Farmers Market,Unsure,Not Farmers Market,6Gg5LxLagcywf2ezH9qRGE,AR,Unsure,
Mount Juliet,Wilson County,37122,Unsure ,Unsure,Unsure,,,NA, ,6Gmk1BaNmyGH7udue8A1LA,,Unsure,
Cookeville,Putnam County,38501,Main,Cookeville Farmers Market,Cookeville Farmers Market,Maybe ,Unsure,NA,,6H0tfrhcOPvHXKEPNWmt4n,,Cookeville Farmers Market,
Lawrenceburg,Lawrence County,38464,The square,Lawrenceburg Farmers Market,Lawrenceburg Farmers Market,The square and the farm,The Farm,The Farm,The Farm,6HMfKFbpg2wTMNuLVBsSTf,,Lawrenceburg Farmers Market,
Oak Ridge,Anderson County,37830,Unsure,Unsure,Unsure,,,NA, ,6HUvjnm6s7qhVw5jOme7FA,,Unsure,
Halls,Lauderdale County,38040,Unsure ,Unsure,Unsure,,,NA, ,6HbyLCvIvldPaXt715Qaol,,Unsure,
White House,Robertson County,37188,Unsure,Unsure,Unsure,,,NA, ,6IGlZ63ahy0WgiWCysJcWu,,Unsure,
Memphis,Shelby County,38109,Elvis presley,Whitehaven Farmers Market,Whitehaven Farmers Market,Elvispresley,Whitehaven Farmers Market,Whitehaven Farmers Market,Whitehaven Farmers Market,6IiIkvqYL6ymeFiSBIEbrt,,Whitehaven Farmers Market,
Memphis,Shelby County,38116,Elivs pressley bvd,Whitehaven Farmers Market,Memphis Farmers Market,Eeliv,Whitehaven Farmers Market,Whitehaven Farmers Market,Whitehaven Farmers Market,6IoXXadBb4iKMMoZpLytWz,,,
Covington,Tipton County,38019,Unsure ,Unsure,Unsure,,,NA, ,6JLn0fPs4cfRBCYxdtbT2S,,Unsure,
Memphis,Shelby County,38128,Good ,Unsure,NA,The only ,Unsure,NA,,6JpW8J1xr9uz5juIADUBmM,,,
Nashville,Davidson County,37203,Unsure,Unsure,Unsure,,,NA, ,6KAaGtqo1LYGQFXkqkt2jw,,Unsure,
Knoxville,Knox County,37931,Unsure,Unsure,Unsure,,,NA, ,6KUsqghKkO2IskNES4Nyhs,,Unsure,
Memphis,Shelby County,38117,Cooper young farmers market ,Cooper-Young Farmers Market,Cooper-Young Farmers Market,,,NA, ,6M6dxCh5bXUxn45RMqXFwE,,Cooper-Young Farmers Market,
Memphis,Shelby County,38127,Unsure,Unsure,Unsure,Fresh market poplar Ave Memphis tn,Not Farmers Market,Fresh Roots Farmers Market,,6MAlofQPdNmeNYXu7eWjoJ,,Unsure,
Mason,Tipton County,38049,Unsure,Unsure,Unsure,,,NA, ,6ME7atXVrLhEiqMX6SoWpT,,Unsure,
Clifton,Wayne County,38425,Unsure ,Unsure,Unsure,Savannah TN farmers market ,Savannah Farmers Market,Savannah Farmers Market,Savannah Farmers Market,6MZoWDzf38Ngsfu2J7TV07,,Unsure,
Memphis,Shelby County,38127,Unsure,Unsure,Unsure,Downtown Near MLK assassination site,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,6MvHb0lyS3vGqnQcug45kz,,Unsure,
Maryville,Blount County,37804,Maryville Farmer's Market,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market-Founder's Square,,Maryville Farmers Market,Maryville Farmers Market,6NAB2rBeJopzk5vL5VEkiE,SP,Maryville Farmers Market,
Murfreesboro,Rutherford County,37128,Veterans Parkway,,Market Square Farmers Market,,,NA, ,6NBNcFKOAXKFPSuNmEWqka,,Market Square Farmers Market,SP
Old Hickory,Davidson County,37138,Nashville pike,Nashville Farmers Market,Nashville Farmers Market,Nashville,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,6NQ6gcQIDZFdbd1fRBtaTZ,,Nashville Farmers Market,
Dover,Stewart County,37058,Unsure,Unsure,Unsure,Farm,Unsure,Unsure,Unsure,6NS2YejhL7ZixR8vHwK2VU,,Unsure,
Friendship,Crockett County,38034,Friendship ,Downtown Friendship Farmers Market,Not Farmers Market,Friendship ,Downtown Friendship Farmers Market,Not Farmers Market,Downtown Friendship Farmers Market,6Pb9BHVBVGtmA6ABqBW0Z0,AR,Downtown Friendship Farmers Market,AR
Memphis,Shelby County,38107,Union ,Not a farmers market,Not Farmers Market,Farmers market ,Unsure,Memphis Farmers Market,Memphis Farmers Market,6Pm8yMNXCSPDMNvTq6QtZy,SP,,
Millington,Shelby County,38053,Beale,Memphis Farmers Market,Memphis Farmers Market,Beal,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,6Pvjlres1IALYaqQAPygGH,,Memphis Farmers Market,
Russellville,Hamblen County,37860,Morristown farmers market ,Morristown Farmers Market,Morristown Farmers Market,Morristown farmers market ,Morristown Farmers Market,Morristown Farmers Market,Morristown Farmers Market,6Q6y71YWKTp1TChj8MEt6U,,Morristown Farmers Market,
Newport,Cocke County,37821,Unsure ,Unsure,Unsure,Cosby,Carver's Orchard,Carver's Orchard,Carver's Orchard,6QJeqJF8uptPwvXbg90Xjy,,Unsure,
Brentwood,Williamson County,37027,Crieve Hall Farmers Market,Farmin in the Halls,Farmin in the Halls,Richland Park Farmers Market,Richland Farmers Market,Richland Farmers Market,Richland Farmers Market,6QYOgRvAfnNiGvSyK35qGC,,Farmin in the Halls,
Mount Juliet,Wilson County,37122,unsure,Unsure,Unsure,mount juliet,Mt. Juliet Farmers Market,Mt. Juliet Farmers Market,Mt. Juliet Farmers Market,6QYYubQpXo7SSdEVjA5qIf,,Unsure,
Bolivar,Hardeman County,38008,Unsure,Unsure,Unsure,Main st,Bolivar Farmers Market,Bolivar Farmers Market,Bolivar Farmers Market,6QYurtDM2ZCQUhuSAIm14k,,Unsure,
Powell,Knox County,37849,Unsure ,Unsure,Unsure,Dixie Lee farmers market ,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie Lee Farmers Market,6QgvKEm8RbR5bYKXc1PPls,,Unsure,
Knoxville,Knox County,37920,Unsure,Unsure,Unsure,Horny of plenty,Not Farmers Market,Not Farmers Market,Not Farmers Market,6R0FS0hOHEYMHNlHJh9liI,,Unsure,
Maryville,Blount County,37803,Unsure,Unsure,Unsure,Conning farms,Coning Family Farmers Market,Coning Family Farmers Market,Coning Family Farmers Market,6R7lWcxBi2ySU7DRUJCEzp,,Unsure,
La Vergne,Rutherford County,37086,Nolensville,Nolensville Farmers Market,Nolensville Farmers Market,Nolensville Farmer Market ,Nolensville Farmers Market,Nolensville Farmers Market,Nolensville Farmers Market,6RFhCqAyAdGJoPifvJJ1Sk,,Nolensville Farmers Market,
,,72301,Unsure,Unsure,,Sprouts,Not Farmers Market,,,6RRprncUyEDfw5OpXMjZzB,,Unsure,
Sevierville,Sevier County,37862,court street,Sevierville Farmers Market,Unsure,court street,Sevierville Farmers Market,Unsure,Sevierville Farmers Market,6RgReFM3JVpJVhnQoNDXqV,AR,Sevierville Farmers Market,AR
,,40965,Walmart ,Not a farmers market,,Save a lot ,Not Farmers Market,,,6RlJC1lDVlyPEBXNnpaVAt,,,
,,78538,I am not sure,,,"3707 W. University Drive, Edinburg, TX",N/A,,,6Se8jdAHdvhVtHaxo1gqAX,,,
Fairview,Williamson County,37062,Fairview,Fairview Farmers Market,Fairview Farmers Market,Nashville,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,6SvKLuzjlHWfWUst4YuLjQ,,Fairview Farmers Market,
Memphis,Shelby County,38107,Chelsea Ave,Chelsea Avenue Farmers Market,Chelsea Avenue Farmers Market,,,NA, ,6Szf2e0ilLb7rYLBfvd6JM,,Chelsea Avenue Farmers Market,
Paris,Henry County,38242,Unsure,Unsure,Unsure,,,NA, ,6TEQ8jZxm7J41eBtEAlvGo,,Unsure,
,,42240,Hopkinsville Farmers Market 1 Mile ,Hopkinsville Farmers Market,,Hopkinsville Farmers Market Main Street ,Hopkinsville Farmers Market,,Hopkinsville Farmers Market,6ThBL6UZJFmpxtdocnUGHB,AR,Hopkinsville Farmers Market,AR
Arlington,Shelby County,38002,Unsure,Unsure,Unsure,Elmore street ,Bartlett Station Farmers Market,Bartlett Station Farmers Market,Bartlett Station Farmers Market,6ToRjoBsT6y9hxFwYpaafX,,Unsure,
Madison,Davidson County,37115,Unsure,Unsure,Unsure,Unsure ,Unsure,Unsure,Unsure,6TqgTbHN9zNsPbMy34PmfN,,Unsure,
Tullahoma,Coffee County,37388,Prospect,,Tellico Farmers Market,,,NA, ,6U8XzSXi2OREzkKgMw7iTW,,,
Knoxville,Knox County,37931,Kingston pike Knoxville tn,,Janta Farmers Market,,,NA, ,6Uk5vtVMc7oBFVodnXxr4P,,Janta Farmers Market,SP
Germantown,Shelby County,38138,Unsure,Unsure,Unsure,Agricenter,Agricenter Farmers Market,Agricenter Farmers Market,Agricenter Farmers Market,6UubcOAsemwrl3hcrpqf3J,,Unsure,
Murfreesboro,Rutherford County,37128,Unsure,Unsure,Unsure,Jefferson st,Unsure,Nashville Farmers Market,Nashville Farmers Market,6V7cyhdsP4w99WQmhvgkqU,SP,Unsure,
,,63877,UNSURE,Unsure,,,,, ,6VCofiGNkSqOyDb2I6wFbJ,,,
Huntland,Franklin County,37345,The Pavilion Market,Farmers Market Pavillion,Farmers Market Pavilion,The Pavilion Market,Farmers Market Pavillion,Not Farmers Market,Farmers Market Pavillion,6Vob3H93d529wINg205ML2,AR,,
Oak Ridge,Anderson County,37830,Unsure,Unsure,Unsure,,,NA, ,6W11UD1fZcqlYp3fXviKkB,,Unsure,
Alcoa,Blount County,37701,Green acres,Green Acres Produce,Smiley's Produce Market,farmers market green acres flea market,Green Acres Produce,Not Farmers Market,Green Acres Produce,6WGnHNhArW9jPJZxduy5Oq,AR,,
Murfreesboro,Rutherford County,37129,Unsure,Unsure,Unsure,The farmers Market,Unsure,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,6WJUTQ2l2ntTroBZ7d3BQj,SP,Unsure,
Knoxville,Knox County,37919,Market Square farmers Market ,Market Square Farmers Market,Market Square Farmers Market,Ebenezer babyish church farmers market,Ebenezer Road Farmers Market,Ebenezer Road Farmers Market,Ebenezer Road Farmers Market,6WLVK5s8vo5soZuAWQpA0K,,Market Square Farmers Market,
Memphis,Shelby County,38106,Union Ave,Not a farmers market,Not Farmers Market,Union Ave,Not Farmers Market,Not Farmers Market,Not Farmers Market,6X0McTMPu1qlW0DE55FfaJ,,,
Dandridge,Jefferson County,37725,farmers market on miller town ln knozville,Not a farmers market,New Harvest Farmers Market,,,NA, ,6XBuLQ7j9XwtZyxv9SC0Ae,,,
Knoxville,Knox County,37917,Market Square ,Market Square Farmers Market,Market Square Farmers Market,,,NA, ,6XSLm0rUIw0HMkg10t9SA1,,Market Square Farmers Market,
Nashville,Davidson County,37207,Unsure,Unsure,Unsure,,,NA, ,6XYI0By6fYyFGCo6WrToRY,,Unsure,
Nashville,Davidson County,37207,Unsure,Unsure,Unsure,Unsure ,Unsure,Unsure,Unsure,6XsvmwrJxtdqZ5vuZDU3px,,Unsure,
Memphis,Shelby County,38128,unsure,Unsure,Unsure,Walmart,Not Farmers Market,Not Farmers Market,Not Farmers Market,6XudFgTt29Ufw9kuPXsjQt,,Unsure,
Pigeon Forge,Sevier County,37863,Off Interstate 321,Not a farmers market,Not Farmers Market,Off Interstate 321,Not Farmers Market,Not Farmers Market,Not Farmers Market,6XuhEl6JbazNE9PQmXWfL5,,,
Nashville,Davidson County,37221,Red caboose park,Bellevue Farmers Market,Bellevue Farmers Market,Red caboose park,Bellevue Farmers Market,Bellevue Farmers Market,Bellevue Farmers Market,6Y64zIQm3Jg7ZIT9W6TFvh,,Bellevue Farmers Market,
,,42240,Lafayette rd.,Barefoot Community Farmers Market,,Amish country store,Barefoot Community Farmers Market,,,6YkzvcxJ95nqAp3nJXbpB7,,Barefoot Community Farmers Market,AR
,,38654,Unsure,Unsure,,I'm not sure ,,,,6YtVPoQfzhc2UDKYEmgX56,,Unsure,
,,40965,"Harrogate plant and produce. Harrogate, Tn.",Harrogate Plant and Produce,,"Harrogate plant and produce. Harrogate, Tn.",Harrogate Plant and Produce,,Harrogate Plant and Produce,6Z1Lc99XEnTXpwGrPYPoFf,AR,,SP
Crossville,Cumberland County,38555,Fresh market,Not a farmers market,Not Farmers Market,Peavine Rd,,Fairfield Glade Farmers Market,Fairfield Glade Farmers Market,6ZE0BBSlE8lfI4Z2fRlV7D,SP,,
Cunningham,Montgomery County,37052,Unsure ,Unsure,Unsure,Dixon park,Clarksville Farmers Market,Dickson County Farmers Market,Clarksville Farmers Market,6ZU8fRK2mvtVIyY9EJNz4m,AR,Unsure,
Luttrell,Union County,37779,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,,,NA, ,6Zlka4BwPr6NGR0NlbPxD2,,New Harvest Farmers Market,
Nashville,Davidson County,37203,unsure ,Unsure,Unsure,nashville market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,6aV7t4crl9REM0uU8LYIN2,,Unsure,
