primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Antioch,Davidson County,37013,Nashville farmer market,Nashville Farmers Market,Nashville Farmers Market,Nashville farmer market ,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0KMBvYMZ4WqCaUTBQWKVjh,,Nashville Farmers Market,
Knoxville,Knox County,37931,Unsure ,Unsure,Unsure,Market Square Farmers Market ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,0LAzMYJ8DZaef1Ea0y05Tn,,Unsure,
Nashville,Davidson County,37214,Unsure,Unsure,Unsure,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0LFK9oY9Wn4xqNxTwyZqsq,,Unsure,
Smyrna,Rutherford County,37167,Neal avenue,Not a farmers market,Unsure,Kroger,Not Farmers Market,Not Farmers Market,Not Farmers Market,0Lfk1GW8OA6VruT3Vmb5aZ,,,
Covington,Tipton County,38019,Unsure ,Unsure,Unsure,,,NA, ,0LlbuK1j5PiV49JfATmfIB,,Unsure,
Atoka,Tipton County,38004,Unsure,Unsure,Unsure,Jones Orchard,Jones Orchard,Jones Orchard,Jones Orchard,0LquDyY1KNKARP2MItxzkI,,Unsure,
Memphis,Shelby County,38116,Fraser rd,Not a farmers market,Cooper-Young Farmers Market,Farmers market ,Unsure,Memphis Farmers Market,Memphis Farmers Market,0MKVisAbD6D7PLS5i1wnEi,SP,Not a farmers market,AR
,,72364,Town Square ,Unsure,,,,, ,0NFLp9RlAyn4yLwLqG7cHP,,,
Nashville,Davidson County,37210,Unsure,Unsure,Unsure,Farmers market ,,Nashville Farmers Market,Nashville Farmers Market,0NLQ9cBsKivOqdtH2iwHPA,SP,Unsure,
Memphis,Shelby County,38127,Unsure,Unsure,Unsure,Thomas Street,Not Farmers Market,Millington Farmers Market,Not Farmers Market,0NX2ur0d9d3358gV5DJA9N,AR,Unsure,
Cookeville,Putnam County,38501,Malcos,,Malco Produce Farm,,,NA, ,0NapywX727PXpXjB9q4wqy,,,AR
Knoxville,Knox County,37901,Unsure,Unsure,Unsure,Withlow ,Not Farmers Market,Unsure,,0NqjrEu8agooEpN5QnX92o,,Unsure,
Sevierville,Sevier County,37862,Unsure ,Unsure,Unsure,,,NA, ,0NsPZWdgLUsyXvqHPmWWgj,,Unsure,
Knoxville,Knox County,37924,Unsure ,Unsure,Unsure,,,NA, ,0NxvrNbJx17VUPPD8WsTdj,,Unsure,
,,38672,Olive Branch Farmer's Market,Olive Branch Farmers Market,,Hernando Farmers' Market,N/A,,,0OQfJRdLSxhlD1FUVXuQw7,,Olive Branch Farmers Market,AR
Maryville,Blount County,37803,Downtown on Broadway ,Maryville Farmers Market,Maryville Farmers Market,,,NA, ,0OuwgoVaXTZhe9Hao6TH4a,,Maryville Farmers Market,
Murfreesboro,Rutherford County,37127,Good ,,NA,Usaa,,NA,,0PADnRO5rVQONgv3AZhgm6,,,
Cordova,Shelby County,38016,cordova rd,Cordova International Farmers Market,Cordova International Farmers Market,cordova farmers market,Cordova International Farmers Market,Cordova International Farmers Market,Cordova International Farmers Market,0PjZTdb7qwn9TmCkOKxYCT,,Cordova International Farmers Market,
Celina,Clay County,38551,Livingston farmers market,Town Of Livingston Farmers Market,Town Of Livingston Farmers Market,Livingston farmers market ,Town Of Livingston Farmers Market,Town Of Livingston Farmers Market,Town Of Livingston Farmers Market,0PwRJZXNCkETVMP5fGQjBU,,Town Of Livingston Farmers Market,
,,38672,Unsure,Unsure,,,,, ,0QACRYyLrLPFtMrjBR8qiV,,Unsure,
Thorn Hill,Grainger County,37881,Hawkins county farmer's market ,Not a farmers market,Rogersville Produce,Rogersville Tn ,Rogersville Farmers Market,Rogersville Produce,,0QCe6jqCzzL4gPKS3ksVil,,Rogersville Produce,SP
Nashville,Davidson County,37206,Rosa park Blvd,Nashville Farmers Market,Nashville Farmers Market,Nashville farmerÃ¢ÂÂs market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0QRgATATaE53kjnBqLQOzv,,Nashville Farmers Market,
Strawberry Plains,Jefferson County,37871,Market square Knoxville Tennessee ,Market Square Farmers Market,Market Square Farmers Market,Market square Knoxville Tennessee ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,0Qb5be6qRo5zLGxjKyQak2,,Market Square Farmers Market,
Memphis,Shelby County,38108,Alicia Towles ,Unsure,Not Farmers Market,Shelby farm,Unsure,Agricenter Farmers Market,,0RIS3QZgygCWVmTePHZitn,,,
Memphis,Shelby County,38134,Unsure,Unsure,Unsure,Spout,Not Farmers Market,Not Farmers Market,Not Farmers Market,0Rd9p3HlRCWA6UJOMHuIvs,,Unsure,
Sunbright,Morgan County,37872,River front park,,Unsure,River front park,,Centerville Farmers Market,,0RvGbtFDMsfyZNNATBXJTZ,0,,
,,40965,Haymakers ,Unsure,,Coleman lane ,Unsure,,,0RvP8PFPTwEEGWTIFC1DCY,,,
Knoxville,Knox County,37923,Unsure,Unsure,Unsure,,,NA, ,0SeQL3VE8ddu6gyNH3P2Fa,,Unsure,
Memphis,Shelby County,38113,unsure ,Unsure,Unsure,,,NA, ,0SmVGeLi7aOVjP1I7t14bI,,Unsure,
,,72432,unsure,Unsure,,Jonesboro Arkansas,Unsure,,,0T2kGkyjMQHHzMZYSxwe3q,,,
,,38671,Unsure,Unsure,,Farmers produce,Not Farmers Market,,,0THCw9siwy8wA70SGka9g5,,Unsure,
Memphis,Shelby County,38135,Unsure,Unsure,Unsure,,,NA, ,0TRDwgw06eTwrnxHQWjPAN,,Unsure,
,,38680,Unsure ,Unsure,,Olive Branch farmers market ,Olive Branch Farmers Market,,,0TisTQp43AQ5YsyjxlH0la,,,
Oak Ridge,Anderson County,37830,Hwy 58,,Oak Ridge Farmers Market,Farmer's outlet,Oak Ridge Farmers Market,Market Square Farmers Market,Oak Ridge Farmers Market,0U1fVX9YMkKd40Gr1uItfD,AR,Oak Ridge Farmers Market,SP
Woodbury,Cannon County,37190,Woodbury,Not a farmers market,Cannon County Farmers Market,Short Mountain Cultures,Not Farmers Market,Short Mountain Cultures,Short Mountain Cultures,0U96Pyv8sJisOSlHkQE8Lw,SP,Cannon County Farmers Market,SP
Brownsville,Haywood County,38012,Farmers market ,Brownsville Farmers Market,Brownsville Farmers Market,Farmers market ,Brownsville Farmers Market,Brownsville Farmers Market,Brownsville Farmers Market,0UPZcTiurqlVCUVBWGnt8m,,Brownsville Farmers Market,
Knoxville,Knox County,37917,Harvest Park,New Harvest Farmers Market,New Harvest Farmers Market,Harvest Park,New Harvest Farmers Market,New Harvest Farmers Market,New Harvest Farmers Market,0UVMvdLQLMPgvwo0c87BT3,,New Harvest Farmers Market,
Murfreesboro,Rutherford County,37128,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,0UatC5t1JDzdzUSguCAem4,,Unsure,
Seymour,Sevier County,37865,Unsure,Unsure,Unsure,Chapman highway,,Seymour Farmers Market,Seymour Farmers Market,0UeTyk16RNB48r6qriuqJd,SP,Unsure,
Saint Joseph,Lawrence County,38481,Main street ,,Loretto Farmers Market,Loretto farmers market ,Loretto Farmers Market,Loretto Farmers Market,Loretto Farmers Market,0V3IcnGqr3IWpoIDUTS71I,,Loretto Farmers Market,SP
,,38619,Unsure,Unsure,,Main Street in sanatobia ms,Not Farmers Market,,,0V9rGPNSCOJsE4UNNwyghe,,Unsure,
Lewisburg,Marshall County,37091,Unsure,Unsure,Unsure,,,NA, ,0VObaDj5ff4bspXnlCKjIE,,Unsure,
,,40965,Unsure,Unsure,,,,, ,0VY5NNsSyDAOYaaJAGWFCk,,Unsure,
Arlington,Shelby County,38002,I donÃ¢ÂÂt go to farmers markets.,Unsure,Unsure,,,NA, ,0VfPKMIrpqKgPjT7z48Mkl,,Unsure,
Millington,Shelby County,38053,Unsure,Unsure,Unsure,,,NA, ,0VxOTKMTsbmP5hyx0fzTTJ,,Unsure,
Knoxville,Knox County,37919,Janta,Janta Farmers Market Knoxville,Janta Farmers Market,Franklin,Franklin Farmers Market,Franklin Farmers Market,Franklin Farmers Market,0W9uyad8HjacI8j00CzeLv,,,
Shelbyville,Bedford County,37160,Unsure,Unsure,Unsure,,,NA, ,0WSr3vVIAMkN2Km1iGRaCI,,Unsure,
Cottontown,Sumner County,37048,Unsure ,Unsure,Unsure,,,NA, ,0WgqFpILNp2Zg0YS7UHMNw,,Unsure,
Strawberry Plains,Jefferson County,37871,Unsure,Unsure,Unsure,,,NA, ,0WxIq9CZlktnYmBdV0PA0P,,Unsure,
Thompsons Station,Williamson County,37179,Unsure ,Unsure,Unsure,,,NA, ,0XVI6UR9j8XHEQW7HtBt9O,,Unsure,
Sevierville,Sevier County,37876,Unsure,Unsure,Unsure,,,NA, ,0XbkV28F1qWAoFD9LEFvUs,,Unsure,
Antioch,Davidson County,37013,Home depo,Not a farmers market,Not Farmers Market,Home depo,Not Farmers Market,Not Farmers Market,Not Farmers Market,0XdHd3acZ5VdOOp5mJP9hU,,,
Memphis,Shelby County,38109,memphis tn,Unsure,Unsure,,,NA, ,0Xl4Zkd5PVVP3TRccAPrgZ,,Unsure,
Collierville,Shelby County,38017,sprouts ,Not a farmers market,Not Farmers Market,frayser,Not Farmers Market,Unsure,,0XrTT7V5mgcZQ38iQBMZC1,,,
Memphis,Shelby County,38111,Unsure,Unsure,Unsure,Sprouts memphis,Unsure,Not Farmers Market,,0Xue7jKej6OVsk49fbOnBw,,Unsure,
Brentwood,Williamson County,37027,Hillsboro,Unsure,Forest Hills UMC Farmers Market,Franklin Market,Franklin Farmers Market,Franklin Farmers Market,Franklin Farmers Market,0Yb0t30KOKiKAIToVajT2f,,Unsure,AR
Waverly,Humphreys County,37185,Unsure ,Unsure,Unsure,,,NA, ,0YrKHE9qNTMcXVMOAOWK8p,,Unsure,
Memphis,Shelby County,38126,Unsure ,Unsure,Unsure,Third Street ,Not Farmers Market,Memphis Farmers Market,Not Farmers Market,0Z3p7qujbzf6gEiV5XjcZq,AR,Unsure,
Nashville,Davidson County,37211,Unsure ,Unsure,Unsure,Nashville Farmers Market ,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,0ZqtBqQONQv0OxZeh9K4gm,,Unsure,
Knoxville,Knox County,37996,Unsure,Unsure,Unsure,ScottÃ¢ÂÂs farm,,Scott County Farmers Market,,0a3Rr23ltUd6gmC3sUL75v,,Unsure,
Memphis,Shelby County,38128,Unsure,Unsure,Unsure,,,NA, ,0aHuptRDMZdR3UOcwHfz56,,Unsure,
Clarksville,Montgomery County,37040,Unsure,Unsure,Unsure,,,NA, ,0aNpMSbwcv2b2FgD2LP5zh,,Unsure,
Morristown,Hamblen County,37814,Unsure ,Unsure,Unsure,"Morristown farmers market , Morris Bulivard . ",Morristown Farmers Market,Morristown Farmers Market,Morristown Farmers Market,0agVJEcDuv9B1Y53Z9ilDq,,Unsure,
Memphis,Shelby County,38109,South Memphis market ,South Memphis Farmers Market,Memphis Farmers Market,Mississippi avenue ,South Memphis Farmers Market,Memphis Farmers Market,South Memphis Farmers Market,0amg1nIt146ssMPeH3MXfC,AR,South Memphis Farmers Market,AR
Oak Ridge,Anderson County,37830,Unsure,Unsure,Unsure,West farmers market ,Not Farmers Market,Oak Ridge Farmers Market,Not Farmers Market,0bEf5iThu6pyw6VxUCEdJs,AR,Unsure,
Hermitage,Davidson County,37076,Donelson Farmers Market ,Hip Donelson Farmers Market,Hip Donelson Farmers Market,,,NA, ,0bYkWGb95jiKRghb6UEwQO,,Hip Donelson Farmers Market,
Dandridge,Jefferson County,37725,Unsure,Unsure,Unsure,,,NA, ,0c45UXiOlyPOW9s5a39MvJ,,Unsure,
Knoxville,Knox County,37922,Dixie Lee,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie Lee,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie Lee Farmers Market,0cOD1TFtO6bivX1vAUhKZX,,Dixie Lee Farmers Market,
Heiskell,Anderson County,37754,Unsure,Unsure,Unsure,,,NA, ,0dNTKDhqYf06E8n5z4l2PS,,Unsure,
Madison,Davidson County,37115,Gallatin,Gallatin Farmers Market,Gallatin Farmers Market,,,NA, ,0dYvleRnYQ5e6DvedriNbk,,Gallatin Farmers Market,
Alcoa,Blount County,37701,Unsure,Unsure,Unsure,Maryville,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,0diDQXav1xVYsjsKPlGsFC,,Unsure,
,,38676,Unsure,Unsure,,,,, ,0ds5K7Cuj3QWNibYqLIe2H,,Unsure,
Lenoir City,Loudon County,37772,Unsure,Unsure,Unsure,Farragut,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie Lee Farmers Market,0e2IGpiaorNPuy8oggVQ0q,,Unsure,
,,72392,Food giant,Not a farmers market,,,,, ,0eSE1zqvtR43ezShyzr9nP,,,
Memphis,Shelby County,38194,South Memphis farmer market,South Memphis Farmers Market,Memphis Farmers Market,South Memphis farmers market ,Memphis Farmers Market,Memphis Farmers Market,Memphis Farmers Market,0f10RlhbWlzjgWYOxb0r59,0,,0
Friendship,Crockett County,38034,Hejkslslw,Unsure,NA,Balalnre,Unsure,NA,,0f2FbwuagazpQZpR78p8LC,,,
Memphis,Shelby County,38109,I'm sure,,Unsure,Elvis Presley boulevard,Whitehaven Farmers Market,Whitehaven Farmers Market,Whitehaven Farmers Market,0fTYwjND0m0enpDvO80dRU,,,
Knoxville,Knox County,37918,Unsure ,Unsure,Unsure,Rogersville ,Rogersville Farmers Market,Rogersville Produce,,0fUwX2dSMh0Kz4sr3v08p2,,Unsure,
Cordova,Shelby County,38018,Unsure ,Unsure,Unsure,Cordova farmers market ,Cordova International Farmers Market,Cordova International Farmers Market,Cordova International Farmers Market,0ffnpN3Z1iIpfSvFe1GP2s,,Unsure,
Memphis,Shelby County,38115,There are a few people who are interested in this program and how much is the is the ,,,There is no way I could get a hold on your business and I will try ,,,,0fjfwgEA66qusYXRY8X4gg,,,
